"x","y","seasoncover","season","cover"
0.739884393063584,915.824915824916,"warm shallow","warm","shallow"
0.716763005780347,1468.01346801347,"warm shallow","warm","shallow"
0.728323699421966,2020.20202020202,"warm shallow","warm","shallow"
1.30635838150289,282.828282828283,"warm deep","warm","deep"
1.30635838150289,430.97643097643,"warm deep","warm","deep"
1.29479768786127,565.656565656566,"warm deep","warm","deep"
2.73988439306358,1548.82154882155,"cold97 shallow","cold97","shallow"
2.72832369942197,2531.98653198653,"cold97 shallow","cold97","shallow"
2.72832369942197,3501.6835016835,"cold97 shallow","cold97","shallow"
3.29479768786127,538.720538720538,"cold97 deep","cold97","deep"
3.31791907514451,740.740740740741,"cold97 deep","cold97","deep"
3.29479768786127,956.228956228956,"cold97 deep","cold97","deep"
4.72832369942197,1158.24915824916,"cold99 shallow","cold99","shallow"
4.71676300578035,1845.11784511785,"cold99 shallow","cold99","shallow"
4.72832369942197,2491.58249158249,"cold99 shallow","cold99","shallow"
5.30635838150289,107.744107744108,"cold99 deep","cold99","deep"
5.30635838150289,215.488215488215,"cold99 deep","cold99","deep"
5.29479768786127,309.764309764309,"cold99 deep","cold99","deep"
